symbol,ml_score_raw,ml_score,ml_score_pct,sector,w_stress_weighted,pct_ops_high_stress,water_vulnerability
KO,0.9950849982764468,100.0,100.0,Food & Beverage,3.425,0.0,1.0
DRD,0.9694347053879316,97.39885784377516,99.72,Basic Materials,3.05,0.0,0.3
SBS,0.9641091790389126,96.85880743769492,99.44,Utilities,3.2,0.0,0.7
AAPL,0.9615141877900468,96.59565484283772,99.16,Technology Hardware,3.1799999999999997,0.0,0.3
TSM,0.957676837588462,96.2065172442566,98.88,Semiconductors,2.5,0.0,1.0
USAS,0.9484823321683769,95.27412182258364,98.6,Basic Materials,1.2,0.0,0.3
LOMA,0.94348557322469,94.76741102635968,98.32,Basic Materials,2.5,0.0,0.3
CEPU,0.9228232018522609,92.6720834814464,98.04,Utilities,2.5,0.0,0.7
EBR,0.9223327150939946,92.6223442527545,97.76,Utilities,3.2,0.0,0.7
EBR-B,0.9220361883777124,92.59227410324311,97.48,Utilities,3.2,0.0,0.7
KEP,0.918891054533754,92.27333270697731,97.2,Utilities,3.01,0.0,0.7
NAK,0.9171658228993446,92.09838060202398,96.92,Basic Materials,1.2,0.0,0.3
KGC,0.9123590272741078,91.61093358566814,96.64,Basic Materials,1.2,0.0,0.3
RNWWW,0.9109717155867704,91.47024923054435,96.36,Utilities,1.8,0.0,0.7
IAG,0.9025277748552294,90.61396699248422,96.08,Basic Materials,1.2,0.0,0.3
NVNO,0.9010619284484904,90.46531859693994,95.8,Pharmaceuticals,2.5,0.0,0.6
KEN,0.8971115854125667,90.06472263310626,95.52,Utilities,2.5,0.0,0.7
MSB,0.8803803697301301,88.36804530370382,95.24,Basic Materials,3.02,0.0,0.3
UAMY,0.8787987107460316,88.20765259870852,94.96,Basic Materials,3.02,0.0,0.3
ENLT,0.8787534224219874,88.20306000519047,94.68,Utilities,4.2,1.0,0.7
TMCWW,0.8732679656611473,87.64679139302353,94.4,Basic Materials,1.2,0.0,0.3
OKLO,0.8720737279300469,87.52568626099168,94.12,Utilities,3.02,0.0,0.7
PKX,0.8708498679664715,87.40157720077906,93.84,Basic Materials,3.01,0.0,0.3
HMY,0.8679621261709203,87.10873738981286,93.56,Basic Materials,3.05,0.0,0.3
GFI,0.8675974425767579,87.07175559492332,93.28,Basic Materials,3.05,0.0,0.3
EDN,0.8634550401427645,86.65168329220381,93.0,Utilities,2.5,0.0,0.7
RNW,0.8625841644246992,86.56336962058462,92.72,Utilities,1.8,0.0,0.7
TMC,0.8615825974339841,86.46180282237474,92.44,Basic Materials,1.2,0.0,0.3
GORO,0.8611047987348998,86.4133502630305,92.16,Basic Materials,3.02,0.0,0.3
TMQ,0.8574316468050883,86.04086366522137,91.88,Basic Materials,1.2,0.0,0.3
DGXX,0.8505831146894549,85.34636845334758,91.6,Utilities,3.02,0.0,0.7
THM,0.8490398928753335,85.1898735807719,91.32,Basic Materials,1.2,0.0,0.3
GNE,0.8454259789408025,84.8233941832487,91.04,Utilities,3.02,0.0,0.7
ELPC,0.8396493589494102,84.23759932135728,90.76,Utilities,3.2,0.0,0.7
MTA,0.8381763112564575,84.08822065855128,90.48,Basic Materials,1.2,0.0,0.3
ELP,0.837875565661161,84.0577226814083,90.2,Utilities,3.2,0.0,0.7
AU,0.8373602210804458,84.0054626733177,89.92,Basic Materials,3.02,0.0,0.3
ITRG,0.8351208965782377,83.77837749384324,89.64,Basic Materials,1.2,0.0,0.3
NGD,0.8318875090606311,83.45048647848475,89.36,Basic Materials,1.2,0.0,0.3
NVA,0.8288927976466404,83.14679910389937,89.08,Basic Materials,2.6,0.0,0.3
MP,0.828100208543793,83.06642431297821,88.8,Basic Materials,3.02,0.0,0.3
CIG,0.8280242084450194,83.05871730309508,88.52,Utilities,3.2,0.0,0.7
ASM,0.8270322741133602,82.95812733254388,88.24,Basic Materials,1.2,0.0,0.3
NB,0.8221945723218371,82.46754618698473,87.96,Basic Materials,3.02,0.0,0.3
CIG-C,0.8218270060311823,82.4302720639178,87.68,Utilities,3.2,0.0,0.7
ORLA,0.8163631014553088,81.87618901341752,87.39,Basic Materials,1.2,0.0,0.3
CGAU,0.8155748082717852,81.79624986262341,87.11,Basic Materials,1.2,0.0,0.3
SSL,0.8051900713470196,80.74315557189867,86.83,Basic Materials,3.05,0.0,0.3
NRG,0.8033166674692468,80.55317763194728,86.55,Utilities,3.02,0.0,0.7
EMA,0.8024122241232703,80.46145993790918,86.27,Utilities,1.2,0.0,0.7
AEM,0.8014550805703261,80.3643980269227,85.99,Basic Materials,1.2,0.0,0.3
GROY,0.796015014925276,79.8127324321682,85.71,Basic Materials,1.2,0.0,0.3
ZKIN,0.7912042930731698,79.32488726541813,85.43,Basic Materials,3.86,0.0,0.3
MUX,0.7791470074632656,78.10218333662176,85.15,Basic Materials,1.2,0.0,0.3
SBSW,0.7757974789887405,77.76251471153313,84.87,Basic Materials,3.05,0.0,0.3
EGO,0.7743341094120118,77.61411748610143,84.59,Basic Materials,1.2,0.0,0.3
ARMN,0.7730645230540336,77.48537140857871,84.31,Basic Materials,1.2,0.0,0.3
SIM,0.7657243643128753,76.74102137647604,84.03,Basic Materials,3.83,0.0,0.3
EMX,0.7645035050511083,76.6172166111113,83.75,Basic Materials,1.2,0.0,0.3
B,0.7634431148007416,76.50968467008174,83.47,Basic Materials,1.2,0.0,0.3
TRX,0.7595630625045711,76.11621674206269,83.19,Basic Materials,1.2,0.0,0.3
