symbol,name,ml_score_raw,ml_score,sector,water_vulnerability,w_stress_weighted,pct_ops_high_stress
-P-HIZ,Presurance Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPRX,OptimizeRx Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OPRA,Opera Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OPP-P-C,RiverNorthDoubleLine Strategic Opportunity Fund Inc 6.00 Series C Term Preferred Stock Liquidation Preference 10.00 per share,0.6499777208869664,50.0,,0.3,2.5,0.0
OPP-P-B,RiverNorth/DoubleLine Strategic opportunity fund Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPP-P-A,RiverNorth/DoubleLine Strategic opportunity fund Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPK,Opko Health Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPHC,Optimumbank Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPFI-WS,OppFi Inc Wt Exp 08312027,0.6499777208869664,50.0,,0.3,2.5,0.0
OPFI,OppFi Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OPEX,Tradr 2X Long OPEN Daily ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
OPEN,Opendoor Technologies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPCH,Option Care Health Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPBK,OP Bancorp,0.6499777208869664,50.0,,0.3,2.5,0.0
OPAL,OPAL Fuels Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OPAD,Offerpad Solutions Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OP,OceanPal Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OOMA,Ooma Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONTO,Onto Innovation Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONTF,ON24 Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONON,On Holding AG Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
ONMDW,OneMedNet Corp - Warrants (05/05/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
ONMD,OneMedNet Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
ONL,Orion Office REIT Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONIT,Ocwen Financial Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
ONFOW,Onfolio Holdings Inc - Warrants (02/01/2027),0.6499777208869664,50.0,,0.3,2.5,0.0
ONFO,Onfolio Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONEW,Onewater Marine Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
ONEG,OneConstruction Group Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OPRT,Oportun Financial Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OPT,Opthea Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
ONCY,Oncolytics Biotech Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPTN,OptiNose Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORRF,Orrstown Financial Services Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORO,Arrow Valtoro ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
ORN,Orion Group Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORMP,Oramed Pharmaceuticals Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORLY,O`Reilly Automotive Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORLA,Orla Mining Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
ORKT,Orangekloud Technology Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
ORKA,ARCA biopharma Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORIS,Oriental Rise Holdings Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
ORIQW,Origin Investment Corp I onehalf of one redeemable warrant.,0.6499777208869664,50.0,,0.3,2.5,0.0
ORIQU,Origin Investment Corp I - Units (1 Ord Cls & 1/2 War),0.6499777208869664,50.0,,0.3,2.5,0.0
ORIQ,Origin Investment Corp I,0.6499777208869664,50.0,,0.3,2.5,0.0
ORIC,ORIC Pharmaceuticals Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORI,Old Republic International Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
ORGO,Organogenesis Holdings Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
ORGNW,Origin Materials Inc - Warrants (23/06/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
ORGN,Origin Materials Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORCL,Oracle Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
ORC,Orchid Island Capital Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORBS,Eightco Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ORA,Ormat Technologies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OR,Osisko Gold Royalties Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OPY,Oppenheimer Holdings Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OPXS,Optex Systems Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OPTXW,Syntec Optics Holdings Inc Wt Exp,0.6499777208869664,50.0,,0.3,2.5,0.0
OPTX,NETOPTIX CORP,0.6499777208869664,50.0,,0.3,2.5,0.0
OPTT,Ocean Power Technologies - Reg S,0.6499777208869664,50.0,,0.3,2.5,0.0
ONDS,Ondas Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONCT,Oncternal Therapeutics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NMPAU,NMP Acquisition Corp - Units (1 Ord Cls A & 1 Rts),0.6499777208869664,50.0,,0.3,2.5,0.0
OKUR,Reneo Pharmaceuticals Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OKTA,Okta Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OKLO,Oklo Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OKE,Oneok Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OIS,Oil States International Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OII,Oceaneering International Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OI,O-I Glass Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OHPAW,Orion Acquisition Corp - Warrants (19/02/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
OHPAU,Orion Acquisition Corp - Units (1 Ord Share Class A & 1/4 War),0.6499777208869664,50.0,,0.3,2.5,0.0
OHPA,Orion Acquisition Corp - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OHI,Omega Healthcare Investors Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OGS,ONE Gas Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OGN,Organon & Company,0.6499777208869664,50.0,,0.3,2.5,0.0
OGI,OrganiGram Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OGEN,Oragenics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OGE,Oge Energy Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OGCP,Empire State Realty OP LP,0.6499777208869664,50.0,,0.3,2.5,0.0
OFSSO,OFS Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OFSSH,OFS Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OFS,OFS Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OFLX,Omega Flex Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OFIX,Orthofix Medical Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OFG,OFG Bancorp,0.6499777208869664,50.0,,0.3,2.5,0.0
OFAL,OFA Group,0.6499777208869664,50.0,,0.3,2.5,0.0
OESX,Orion Energy Systems Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OEC,Orion S.A,0.6499777208869664,50.0,,0.3,2.5,0.0
ODVWZ,Osisko Development Corp - Warrants (27/05/2027),0.6499777208869664,50.0,,0.3,2.5,0.0
ODV,Osisko Development Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OKTX,Tradr 2X Long OKTA Daily ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
OKYO,OKYO Pharma Ltd - New,0.6499777208869664,50.0,,0.3,2.5,0.0
ONCO,Onconetix Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OLB,OLB Group Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ONCHW,1RT Acquisition Corp Warrant,0.6499777208869664,50.0,,0.3,2.5,0.0
ONCHU,1RT Acquisition Corp - Units (1 Ord Cls A & 1 War),0.6499777208869664,50.0,,0.3,2.5,0.0
ONCH,1RT Acquisition Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
ONC,BeiGene Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
ONBPP,Old National Bancorp,0.6499777208869664,50.0,,0.3,2.5,0.0
ONBPO,Old National Bancorp,0.6499777208869664,50.0,,0.3,2.5,0.0
ONB,Old National Bancorp,0.6499777208869664,50.0,,0.3,2.5,0.0
ON,ON Semiconductor Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OMSE,OMS Energy Technologies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OMI,Owens & Minor Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OMH,Ohmyhome Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OMF,OneMain Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OMEX,Odyssey Marine Exploration Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
