symbol,name,exchange,assetType,ipoDate,delistingDate,status,ticker,cik,asof,water_intensity_m3,baseline_water_stress,has_water_targets,env_score,social_score,gov_score,water_intensity,basin_stress,water_targets,water_score,env_score_pillar,social_score_pillar,gov_score_pillar,overall_score,rank
MSFT,Microsoft Corporation,NASDAQ,Stock,1986-03-13,,Active,MSFT,789019.0,2025-11-05,5.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.1,0.1,0.1,0.52,1.0
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active,AAPL,320193.0,2025-11-05,7.0,0.2,1.0,0.8333333333333334,0.8333333333333334,0.8,0.8666666666666667,0.7499999999999999,1.0,0.6908333333333334,0.0833333333333333,0.0833333333333333,0.08,0.4475,2.0
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active,A,1090872.0,2025-11-05,10.0,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.4333333333333333,0.0,0.0,0.0,0.26,3.0
AA,Alcoa Corp,NYSE,Stock,2016-10-18,,Active,AA,1675149.0,2025-11-05,20.0,0.3,0.0,0.1666666666666666,0.1666666666666666,0.2,0.0,0.5,0.0,0.125,0.0166666666666666,0.0166666666666666,0.02,0.082,4.0
-P-HIZ,Presurance Holdings Inc,NASDAQ,Stock,2023-08-30,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AACBR,Artius II Acquisition Inc Rights,NASDAQ,Stock,2025-04-07,,Active,AACBR,2034334.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AACBU,Artius II Acquisition Inc - Units (1 Ord Shs & 1 Rts),NASDAQ,Stock,2025-02-13,,Active,AACBU,2034334.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active,AACG,1420529.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active,AAL,6201.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAM,AA Mission Acquisition Corp - Class A,NYSE,Stock,2024-09-16,,Active,AAM,2012964.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAM-U,AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,2024-08-01,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active,AAME,8177.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAMI,BrightSphere Investment Group Inc,NYSE,Stock,2018-03-26,,Active,AAMI,1748824.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active,AAOI,1158114.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active,AAON,824142.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active,AAP,1158449.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAPG,Ascentage Pharma Group International,NASDAQ,Stock,2025-01-24,,Active,AAPG,2023311.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAPGV,Ascentage Pharma Group International American Depository Shares,NASDAQ,Stock,2025-01-24,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AARD,Aardvark Therapeutics Inc,NASDAQ,Stock,2025-02-13,,Active,AARD,1774857.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAT,American Assets Trust Inc,NYSE,Stock,2011-01-13,,Active,AAT,1500217.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAUC,Allied Gold Corporation,NYSE,Stock,2025-06-09,,Active,AAUC,1993344.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AAUM,Tema Alternative Asset Managers ETF,BATS,Stock,2025-10-01,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,,Active,AB,825313.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABAT,Advanced Battery Technologies Inc,NASDAQ,Stock,2023-09-21,,Active,ABAT,1576873.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABBV,Abbvie Inc,NYSE,Stock,2013-01-02,,Active,ABBV,1551152.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,,Active,ABCB,351569.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,2020-12-11,,Active,ABCL,1703057.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,,Active,ABEO,318306.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABEV,Ambev S.A.,NYSE,Stock,1997-03-05,,Active,ABEV,1565025.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABG,Asbury Automotive Group Inc,NYSE,Stock,2002-03-21,,Active,ABG,1144980.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABI,Safety First Trust Series 2009-2,NYSE ARCA,Stock,2009-05-11,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABL,Abacus Life Inc - Class A,NASDAQ,Stock,2020-09-14,,Active,ABL,1814287.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABLLL,Abacus Life Inc,NASDAQ,Stock,2023-11-24,,Active,ABLLL,1814287.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABLV,Able View Global Inc - Class B,NASDAQ,Stock,2022-09-12,,Active,ABLV,1957489.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABLVW,Able View Global Inc - Warrants (17/08/2028),NASDAQ,Stock,2023-08-18,,Active,ABLVW,1957489.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABM,ABM Industries Inc,NYSE,Stock,1984-07-19,,Active,ABM,771497.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABNB,Airbnb Inc - Class A,NASDAQ,Stock,2020-12-10,,Active,ABNB,1559720.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABOS,Acumen Pharmaceuticals Inc,NASDAQ,Stock,2021-07-01,,Active,ABOS,1576885.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABPWW,Abpro Holdings Inc - Warrants (12/11/2029),NASDAQ,Stock,2022-03-07,,Active,ABPWW,1893219.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABR,Arbor Realty Trust Inc,NYSE,Stock,2004-04-07,,Active,ABR,1253986.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABR-P-D,Arbor Realty Trust Inc,NYSE,Stock,2021-05-26,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABR-P-E,Arbor Realty Trust Inc,NYSE,Stock,2021-08-05,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABR-P-F,Arbor Realty Trust Inc,NYSE,Stock,2021-10-05,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABSI,Absci Corp,NASDAQ,Stock,2021-07-22,,Active,ABSI,1672688.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABST,Absolute Software Corporation,NASDAQ,Stock,2020-10-28,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABT,Abbott Laboratories,NYSE,Stock,1983-04-06,,Active,ABT,1800.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABTS,Abits Group Inc,NASDAQ,Stock,2014-04-10,,Active,ABTS,1864055.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABUS,Arbutus Biopharma Corp,NASDAQ,Stock,2015-08-03,,Active,ABUS,1447028.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABVC,ABVC BioPharma Inc,NASDAQ,Stock,2011-04-05,,Active,ABVC,1173313.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABVE,Above Food Ingredients Inc,NASDAQ,Stock,2024-07-01,,Active,ABVE,1979484.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABVEW,Above Food Ingredients Inc - Warrants (02/04/2029),NASDAQ,Stock,2024-07-01,,Active,ABVEW,1979484.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ABVX,Abivax,NASDAQ,Stock,2023-10-20,,Active,ABVX,1956827.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACA,Arcosa Inc,NYSE,Stock,2018-10-30,,Active,ACA,1739445.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACAD,Acadia Pharmaceuticals Inc,NASDAQ,Stock,2004-05-27,,Active,ACAD,1070494.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACB,Aurora Cannabis Inc,NASDAQ,Stock,2014-07-11,,Active,ACB,1683541.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACCL,Acco Group Holdings Ltd,NASDAQ,Stock,2025-10-17,,Active,ACCL,2038378.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACCO,Acco Brands Corporation,NYSE,Stock,2005-08-17,,Active,ACCO,712034.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACCS,ACCESS Newswire Inc,NYSE MKT,Stock,2005-02-14,,Active,ACCS,843006.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACDC,ProFrac Holding Corp Class A,NASDAQ,Stock,2022-05-13,,Active,ACDC,1881487.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACEI,AMERICAN CHAMPION ENTERTAINMENT INC,NASDAQ,Stock,2025-09-25,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACEL,Accel Entertainment Inc - Class A1,NYSE,Stock,2019-11-21,,Active,ACEL,1698991.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACET,Adicet Bio Inc,NASDAQ,Stock,2018-01-26,,Active,ACET,1720580.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACGL,Arch Capital Group Ltd,NASDAQ,Stock,1995-09-14,,Active,ACGL,947484.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACGLN,Arch Capital Group Ltd,NASDAQ,Stock,2021-06-03,,Active,ACGLN,947484.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACGLO,Arch Capital Group Ltd,NASDAQ,Stock,2017-08-15,,Active,ACGLO,947484.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACHC,Acadia Healthcare Company Inc,NASDAQ,Stock,1994-03-04,,Active,ACHC,1520697.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACHL,Achilles Therapeutics Plc,NASDAQ,Stock,2021-03-31,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACHR,Archer Aviation Inc - Class A,NYSE,Stock,2020-12-18,,Active,ACHR,1824502.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACHR-WS,Archer Aviation Inc Wt,NYSE,Stock,2021-09-17,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACHV,Achieve Life Sciences Inc,NASDAQ,Stock,1995-10-13,,Active,ACHV,949858.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACI,Albertsons Companies Inc - Class A,NYSE,Stock,2020-06-26,,Active,ACI,1646972.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACIC,American Coastal Insurance Corp,NASDAQ,Stock,2007-11-07,,Active,ACIC,1401521.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACIU,AC Immune SA,NASDAQ,Stock,2016-09-23,,Active,ACIU,1651625.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACIW,ACI Worldwide Inc,NASDAQ,Stock,1995-02-27,,Active,ACIW,935036.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,NYSE ARCA,Stock,2025-09-09,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACLO,ACCELIO CORP,NASDAQ,Stock,2024-11-18,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACLS,Axcelis Technologies Inc,NASDAQ,Stock,2000-07-11,,Active,ACLS,1113232.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACLX,Arcellx Inc,NASDAQ,Stock,2022-02-04,,Active,ACLX,1786205.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACM,AECOM,NYSE,Stock,2007-05-10,,Active,ACM,868857.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACMR,ACM Research Inc - Class A,NASDAQ,Stock,2017-11-03,,Active,ACMR,1680062.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACN,Accenture plc - Class A,NYSE,Stock,2001-07-19,,Active,ACN,1467373.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACNB,ACNB Corp,NASDAQ,Stock,1996-01-02,,Active,ACNB,715579.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACNT,Ascent Industries Company,NASDAQ,Stock,1991-12-03,,Active,ACNT,95953.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACOG,Alpha Cognition Inc,NASDAQ,Stock,2024-11-12,,Active,ACOG,1655923.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACON,Aclarion Inc,NASDAQ,Stock,2022-04-22,,Active,ACON,1635077.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACONW,Aclarion Inc - Warrants (01/12/2026),NASDAQ,Stock,2022-04-22,,Active,ACONW,1635077.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACP-P-A,abrdn Income Credit Strategies Fund,NYSE,Stock,2021-05-04,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACR,ACRES Commercial Realty Corp,NYSE,Stock,2006-02-07,,Active,ACR,1332551.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACR-P-C,ACRES Commercial Realty Corp,NYSE,Stock,2014-06-06,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACR-P-D,ACRES Commercial Realty Corp,NYSE,Stock,2021-05-17,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACRE,Ares Commercial Real Estate Corp,NYSE,Stock,2012-04-27,,Active,ACRE,1529377.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACRS,Aclaris Therapeutics Inc,NASDAQ,Stock,2015-10-07,,Active,ACRS,1557746.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACRV,Acrivon Therapeutics Inc,NASDAQ,Stock,2022-11-15,,Active,ACRV,1781174.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACST,Acasti Pharma Inc - Class A,NASDAQ,Stock,2011-05-06,,Active,,,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACT,Enact Holdings Inc,NASDAQ,Stock,2021-09-16,,Active,ACT,1823529.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACTG,Acacia Research Corp,NASDAQ,Stock,2002-12-16,,Active,ACTG,934549.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACTU,Actuate Therapeutics Inc,NASDAQ,Stock,2024-08-13,,Active,ACTU,1652935.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
ACU,Acme United Corp,NYSE MKT,Stock,1984-09-07,,Active,ACU,2098.0,2025-11-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0
