symbol,symbol_yf
AAPL,AAPL
AAUC,AAUC
ACNT,ACNT
AEE,AEE
AEM,AEM
AEP,AEP
AES,AES
AG,AG
AGI,AGI
ALB,ALB
ALE,ALE
ALTO,ALTO
AMR,AMR
AMRZ,AMRZ
AMTX,AMTX
APD,APD
AQN,AQN
AREC,AREC
ARMN,ARMN
ARTNA,ARTNA
ASH,ASH
ASIX,ASIX
ASM,ASM
ASPI,ASPI
ASTL,ASTL
ASTLW,ASTLW
ATO,ATO
AU,AU
AUST,AUST
AVA,AVA
AVD,AVD
AVNT,AVNT
AWK,AWK
AWR,AWR
AXTA,AXTA
B,B
BAK,BAK
BCC,BCC
BCPC,BCPC
BEP,BEP
BEPC,BEPC
BGLC,BGLC
BGLWW,BGLWW
BHP,BHP
BIOX,BIOX
BIP,BIP
BIPC,BIPC
BKH,BKH
BNRG,BNRG
BON,BON
BSLK,BSLK
BSLKW,BSLKW
BTG,BTG
BVN,BVN
CAPS,CAPS
CAPT,CAPT
CAPTW,CAPTW
CBT,CBT
CC,CC
CDE,CDE
CDZI,CDZI
CDZIP,CDZIP
CE,CE
CEG,CEG
CENX,CENX
CEPU,CEPU
CF,CF
CGAU,CGAU
CHNR,CHNR
CIG,CIG
CIG-C,CIG-C
CLF,CLF
CLMT,CLMT
CLW,CLW
CMC,CMC
CMCL,CMCL
CMP,CMP
CMS,CMS
CMT,CMT
CNEY,CNEY
CNP,CNP
CPAC,CPAC
CPK,CPK
CREG,CREG
CRH,CRH
CRML,CRML
CRMLW,CRMLW
CSTM,CSTM
CTGO,CTGO
CTRI,CTRI
CTVA,CTVA
CWCO,CWCO
CWEN,CWEN
CWEN-A,CWEN-A
CWT,CWT
CX,CX
D,D
DC,DC
DD,DD
DGXX,DGXX
DOW,DOW
DRD,DRD
DTE,DTE
DUK,DUK
DVS,DVS
EBR,EBR
EBR-B,EBR-B
ECL,ECL
ECVT,ECVT
ED,ED
EDN,EDN
EGO,EGO
EIX,EIX
ELBM,ELBM
ELLO,ELLO
ELP,ELP
ELPC,ELPC
ELVR,ELVR
EMA,EMA
EMN,EMN
EMX,EMX
ENIC,ENIC
ENLT,ENLT
EQX,EQX
ERO,ERO
ES,ES
ESI,ESI
ETI-P,ETI-P
ETR,ETR
EVRG,EVRG
EXC,EXC
EXK,EXK
EXP,EXP
FCX,FCX
FE,FE
FEAM,FEAM
FF,FF
FLNC,FLNC
FMC,FMC
FMST,FMST
FMSTW,FMSTW
FNV,FNV
FRD,FRD
FSI,FSI
FSM,FSM
FTS,FTS
FUL,FUL
FURY,FURY
GAU,GAU
GEVO,GEVO
GFI,GFI
GGB,GGB
GLDG,GLDG
GNE,GNE
GORO,GORO
GPRE,GPRE
GRO,GRO
GROY,GROY
GSM,GSM
GURE,GURE
GWRS,GWRS
