symbol,site_id,country,region,lat,lon,weight
TSM,TainanFab,TW,TAINAN,22.99,120.2,0.6
TSM,HsinchuFab,TW,HSINCHU,24.8,121.0,0.4
KO,Plant1,MX,NUEVO_LEON,25.68,-100.31,0.5
KO,Plant2,US,GA,33.75,-84.39,0.5
AAPL,Assembly1,CN,ZHENGZHOU,34.75,113.62,0.5
AAPL,Assembly2,VN,BAC_NINH,21.19,106.07,0.5
A,A_ANY_1,USA,ANY,,,1.0
AA,AA_ANY_1,USA,ANY,,,1.0
AACBR,AACBR_ANY_1,USA,ANY,,,1.0
AACBU,AACBU_ANY_1,USA,ANY,,,1.0
AACG,AACG_ANY_1,CHINA,ANY,,,1.0
AAL,AAL_ANY_1,UNITED STATES,ANY,,,1.0
AAM,AAM_ANY_1,UNITED STATES,ANY,,,1.0
AAME,AAME_ANY_1,UNITED STATES,ANY,,,1.0
AAMI,AAMI_ANY_1,UNITED STATES,ANY,,,1.0
AAOI,AAOI_ANY_1,UNITED STATES,ANY,,,1.0
AAON,AAON_ANY_1,UNITED STATES,ANY,,,1.0
AAP,AAP_ANY_1,UNITED STATES,ANY,,,1.0
AAPG,AAPG_ANY_1,CHINA,ANY,,,1.0
AARD,AARD_ANY_1,UNITED STATES,ANY,,,1.0
AAT,AAT_ANY_1,UNITED STATES,ANY,,,1.0
AAUC,AAUC_ANY_1,CANADA,ANY,,,1.0
AB,AB_ANY_1,UNITED STATES,ANY,,,1.0
ABAT,ABAT_ANY_1,UNITED STATES,ANY,,,1.0
ABBV,ABBV_ANY_1,UNITED STATES,ANY,,,1.0
ABCB,ABCB_ANY_1,UNITED STATES,ANY,,,1.0
ABCL,ABCL_ANY_1,CANADA,ANY,,,1.0
ABEO,ABEO_ANY_1,UNITED STATES,ANY,,,1.0
ABEV,ABEV_ANY_1,BRAZIL,ANY,,,1.0
ABG,ABG_ANY_1,UNITED STATES,ANY,,,1.0
ABL,ABL_ANY_1,UNITED STATES,ANY,,,1.0
ABLV,ABLV_ANY_1,CHINA,ANY,,,1.0
ABLVW,ABLVW_ANY_1,CHINA,ANY,,,1.0
ABM,ABM_ANY_1,UNITED STATES,ANY,,,1.0
ABNB,ABNB_ANY_1,UNITED STATES,ANY,,,1.0
ABOS,ABOS_ANY_1,UNITED STATES,ANY,,,1.0
ABPWW,ABPWW_ANY_1,UNITED STATES,ANY,,,1.0
ABR,ABR_ANY_1,UNITED STATES,ANY,,,1.0
ABSI,ABSI_ANY_1,UNITED STATES,ANY,,,1.0
ABT,ABT_ANY_1,UNITED STATES,ANY,,,1.0
ABTS,ABTS_ANY_1,HONG KONG,ANY,,,1.0
ABUS,ABUS_ANY_1,UNITED STATES,ANY,,,1.0
ABVC,ABVC_ANY_1,UNITED STATES,ANY,,,1.0
ABVE,ABVE_ANY_1,CANADA,ANY,,,1.0
ABVEW,ABVEW_ANY_1,CANADA,ANY,,,1.0
ABVX,ABVX_ANY_1,FRANCE,ANY,,,1.0
ACA,ACA_ANY_1,UNITED STATES,ANY,,,1.0
ACAD,ACAD_ANY_1,UNITED STATES,ANY,,,1.0
ACB,ACB_ANY_1,CANADA,ANY,,,1.0
ACCL,ACCL_ANY_1,HONG KONG,ANY,,,1.0
ACCO,ACCO_ANY_1,UNITED STATES,ANY,,,1.0
ACCS,ACCS_ANY_1,UNITED STATES,ANY,,,1.0
ACDC,ACDC_ANY_1,UNITED STATES,ANY,,,1.0
ACEL,ACEL_ANY_1,UNITED STATES,ANY,,,1.0
ACET,ACET_ANY_1,UNITED STATES,ANY,,,1.0
ACGL,ACGL_ANY_1,BERMUDA,ANY,,,1.0
