symbol,pb,roe,profit_margin
AAPL,54.033417,1.7142199,0.26915002
AAUC,4.610488,-0.25718,-0.13415
ACNT,1.323313,-0.112679996,-0.01846
AEE,2.2262845,0.102189995,0.15113
AEM,3.4108236,0.15667,0.32625
AEP,2.1099122,0.12923001,0.17228001
AES,3.031488,0.01742,0.076630004
AG,2.0936584,0.01064,0.01783
AGI,3.2295353,0.14274,0.33462003
ALB,1.3619862,-0.081070006,-0.18614
ALE,1.3719518,0.025799999,0.11043999
ALTO,0.4383358,-0.28218,-0.07162
AMR,1.4123523,-0.02286,-0.015700001
AMRZ,2.1816857,0.10345,0.09962
AMTX,-0.44792113,,-0.36702
APD,3.3959749,0.09336001,0.12859
AQN,0.95270616,-0.00264,-0.57657003
AREC,-3.511628,,0.0
ARMN,1.7595756,0.03889,0.06384
ARTNA,1.3447433,0.0925,0.20158
ASH,1.2408962,-0.34432,-0.46067002
ASIX,0.6181972,0.09849,0.05104
ASM,4.2474694,0.11472,0.18511
ASPI,28.122925,-4.69597,0.0
ASTL,0.4782191,,-0.34794
ASTLW,0.01800072,,-0.34794
ATO,2.0624776,0.09057,0.25045002
AU,4.553189,0.31250998,0.23597999
AUST,2.5494657,-0.25764,0.0
AVA,1.207605,0.06922,0.09156
AVD,0.6196073,-0.42970002,-0.23718001
AVNT,1.2363172,0.05131,0.036530003
AWK,2.3467906,0.10457,0.21933001
AWR,2.9361687,0.13821,0.20261998
AXTA,2.6174655,0.21327999,0.08808
B,2.2450871,0.121479996,0.19994
BAK,-0.52534556,,-0.07473
BCC,1.2646208,0.09047,0.02964
BCPC,3.802729,0.12056,0.14721
BEP,2.5833688,0.0046,-0.06884
BEPC,125.38012,-0.09151,-0.33952
BGLC,1.2863148,-0.34370998,-0.30708998
BGLWW,-1.4221219,,0.0
BHP,5.9098167,0.21992001,0.17593999
BIOX,0.36084569,-0.15895,-0.15542
BIP,3.5746887,0.04896,0.0035299999
BIPC,-4.448697,-0.10974,-0.33279
BKH,1.2909496,0.08173,0.12671
BNRG,3.3640733,-3.2720902,0.0
BON,0.008204216,0.01189,0.02674
BSLK,-0.28831768,,0.0
BSLKW,-0.004229566,,0.0
BTG,1.636327,-0.11647,-0.19961001
BVN,1.5004444,0.12317,0.30696
CAPS,0.19822825,,-0.08061
CAPT,-0.34260625,,0.0
CAPTW,-0.014844193,,0.0
CBT,2.0860376,0.22822,0.08915
CC,7.7195206,-0.8527,-0.07043
CDE,2.930247,0.19572,0.24034001
CDZI,11.774195,-1.03713,-2.1749
CDZIP,45.057606,-1.03713,-2.1749
CE,0.77726126,-0.23796,-0.16299
CEG,8.527334,0.23515,0.12123
CENX,3.6709187,0.12847,0.040999997
CEPU,0.010364541,0.094289996,0.23407
CF,2.783924,0.19795,0.20195
CGAU,1.1823976,0.18388,0.26351
CHNR,0.06427852,-0.03852,0.0
CIG,0.21953179,0.23587,0.15499
CIG-C,0.26826084,0.23587,0.15499
CLF,0.95347995,-0.25277,-0.09
CLMT,-1.6719594,,-0.11124
CLW,0.3760677,-0.104729995,0.09137999
CMC,1.5389409,0.01994,0.01086
CMCL,2.1659787,0.17075,0.18332
CMP,2.859049,0.17011999,-0.12467
CMS,2.5641885,0.11233,0.12622
CMT,1.0398884,0.053239997,0.03086
CNEY,0.013275321,-0.04053,-0.11532
CNP,2.304461,0.09606,0.11367
CPAC,2.2569396,0.16309,0.10656
CPK,2.0504146,0.092480004,0.14884
CREG,0.024679326,-0.026730001,0.0
CRH,3.4946218,0.14782,0.090900004
CRML,12.16895,-1.28305,0.0
CRMLW,5.536644,-1.28305,0.0
CSTM,2.571755,0.121750005,0.01418
CTGO,-105.51021,,0.0
CTRI,3.531343,-0.00566,-0.00119
CTVA,1.6673664,0.0574,0.08156
CWCO,2.5430021,0.08006,0.122379996
CWEN,2.1999106,-0.02001,0.05307
CWEN-A,2.0711417,-0.02001,0.05307
CWT,1.6421363,0.081470005,0.13607
CX,11.038339,0.07074,0.08596
D,1.9062849,0.09204,0.16790001
DC,3.5933273,-0.23929001,0.0
DD,0.7213267,0.00461,-0.01539
DGXX,8.975904,-0.69071,-0.58851004
DOW,0.9307508,-0.05287,-0.02769
DRD,0.24189994,0.28438,0.28467
DTE,2.2959976,0.11658,0.093439996
DUK,1.9251269,0.0959,0.15719
DVS,2.6543648,-0.22011,0.0
EBR,0.20415702,0.056900002,0.15168999
EBR-B,0.21599908,0.056900002,0.15168999
ECL,11.0002985,0.21869,0.12489
ECVT,1.3707011,-0.04704,-0.13777
ED,1.4658997,0.085439995,0.119849995
EDN,0.015991978,0.15569,0.094399996
EGO,1.3050823,0.0963,0.22147
EIX,1.4075271,0.15765001,0.16315001
ELBM,0.36379611,-0.41092998,0.0
ELLO,2.4185746,-0.05329,-0.11617
ELP,1.24942,0.100839995,0.12751001
ELPC,1.1746985,0.100839995,0.12751001
ELVR,4.828884,-0.60066,-1.31753
EMA,1.2125232,0.07394,0.11545
EMN,1.2304536,,0.07746
