symbol,sector,water_intensity,water_targets,env_score,social_score,gov_score,country
TSM,Semiconductors,12000.0,1.0,70.0,65.0,60.0,
KO,Food & Beverage,25000.0,1.0,60.0,70.0,65.0,
AAPL,Technology Hardware,3000.0,1.0,75.0,72.0,68.0,
PAYX,Software,500.0,0.0,55.0,60.0,65.0,
NVNO,Pharmaceuticals,4000.0,0.0,50.0,55.0,60.0,
A,HEALTHCARE,,,,,,USA
AA,BASIC MATERIALS,,,,,,USA
AACBR,,,,,,,USA
AACBU,FINANCIAL SERVICES,,,,,,USA
AACG,Consumer Defensive,,,,,,CHINA
AAL,Industrials,,,,,,UNITED STATES
AAM,Financial Services,,,,,,UNITED STATES
AAME,Financial Services,,,,,,UNITED STATES
AAMI,Financial Services,,,,,,UNITED STATES
AAOI,Technology,,,,,,UNITED STATES
AAON,Industrials,,,,,,UNITED STATES
AAP,Consumer Cyclical,,,,,,UNITED STATES
AAPG,Healthcare,,,,,,CHINA
AARD,Healthcare,,,,,,UNITED STATES
AAT,Real Estate,,,,,,UNITED STATES
AAUC,Basic Materials,,,,,,CANADA
AB,Financial Services,,,,,,UNITED STATES
ABAT,Industrials,,,,,,UNITED STATES
ABBV,Healthcare,,,,,,UNITED STATES
ABCB,Financial Services,,,,,,UNITED STATES
ABCL,Healthcare,,,,,,CANADA
ABEO,Healthcare,,,,,,UNITED STATES
ABEV,Consumer Defensive,,,,,,BRAZIL
ABG,Consumer Cyclical,,,,,,UNITED STATES
ABL,Financial Services,,,,,,UNITED STATES
ABLV,Consumer Cyclical,,,,,,CHINA
ABLVW,Consumer Cyclical,,,,,,CHINA
ABM,Industrials,,,,,,UNITED STATES
ABNB,Consumer Cyclical,,,,,,UNITED STATES
ABOS,Healthcare,,,,,,UNITED STATES
ABPWW,Healthcare,,,,,,UNITED STATES
ABR,Real Estate,,,,,,UNITED STATES
ABSI,Healthcare,,,,,,UNITED STATES
ABT,Healthcare,,,,,,UNITED STATES
ABTS,Financial Services,,,,,,HONG KONG
ABUS,Healthcare,,,,,,UNITED STATES
ABVC,Healthcare,,,,,,UNITED STATES
ABVE,Consumer Defensive,,,,,,CANADA
ABVEW,Consumer Defensive,,,,,,CANADA
ABVX,Healthcare,,,,,,FRANCE
ACA,Industrials,,,,,,UNITED STATES
ACAD,Healthcare,,,,,,UNITED STATES
ACB,Healthcare,,,,,,CANADA
ACCL,Industrials,,,,,,HONG KONG
ACCO,Industrials,,,,,,UNITED STATES
ACCS,Communication Services,,,,,,UNITED STATES
ACDC,Energy,,,,,,UNITED STATES
ACEL,Consumer Cyclical,,,,,,UNITED STATES
ACET,Healthcare,,,,,,UNITED STATES
ACGL,Financial Services,,,,,,BERMUDA
ACGLN,Financial Services,,,,,,BERMUDA
ACGLO,Financial Services,,,,,,BERMUDA
ACHC,Healthcare,,,,,,UNITED STATES
ACHR,Industrials,,,,,,UNITED STATES
ACHV,Healthcare,,,,,,UNITED STATES
ACI,Consumer Defensive,,,,,,UNITED STATES
ACIC,Financial Services,,,,,,UNITED STATES
ACIU,Healthcare,,,,,,SWITZERLAND
ACIW,Technology,,,,,,UNITED STATES
ACLS,Technology,,,,,,UNITED STATES
ACLX,Healthcare,,,,,,UNITED STATES
ACM,Industrials,,,,,,UNITED STATES
ACMR,Technology,,,,,,UNITED STATES
ACN,Technology,,,,,,IRELAND
ACNB,Financial Services,,,,,,UNITED STATES
ACNT,Basic Materials,,,,,,UNITED STATES
ACOG,Healthcare,,,,,,CANADA
ACON,Healthcare,,,,,,UNITED STATES
ACONW,Healthcare,,,,,,UNITED STATES
ACR,Real Estate,,,,,,UNITED STATES
ACRE,Real Estate,,,,,,UNITED STATES
ACRS,Healthcare,,,,,,UNITED STATES
ACRV,Healthcare,,,,,,UNITED STATES
ACT,Financial Services,,,,,,UNITED STATES
ACTG,Industrials,,,,,,UNITED STATES
ACTU,Healthcare,,,,,,UNITED STATES
ACU,Consumer Defensive,,,,,,UNITED STATES
ACVA,Consumer Cyclical,,,,,,UNITED STATES
ACXP,Healthcare,,,,,,UNITED STATES
AD,Communication Services,,,,,,UNITED STATES
ADAG,Healthcare,,,,,,CHINA
ADAM,Real Estate,,,,,,UNITED STATES
ADAMG,,,,,,,UNITED STATES
ADAMH,,,,,,,UNITED STATES
ADAML,Real Estate,,,,,,UNITED STATES
ADAMM,Real Estate,,,,,,UNITED STATES
ADAMN,Real Estate,,,,,,UNITED STATES
ADAMZ,Real Estate,,,,,,UNITED STATES
ADBE,Technology,,,,,,UNITED STATES
ADC,Real Estate,,,,,,UNITED STATES
ADCT,Healthcare,,,,,,SWITZERLAND
ADEA,Technology,,,,,,UNITED STATES
ADGM,Healthcare,,,,,,UNITED STATES
ADI,Technology,,,,,,UNITED STATES
ADIL,Healthcare,,,,,,UNITED STATES
ADM,Consumer Defensive,,,,,,UNITED STATES
ADMA,Healthcare,,,,,,UNITED STATES
ADNT,Consumer Cyclical,,,,,,IRELAND
ADP,Technology,,,,,,UNITED STATES
ADPT,Healthcare,,,,,,UNITED STATES
ADSE,Industrials,,,,,,IRELAND
ADSEW,Industrials,,,,,,IRELAND
ADSK,Technology,,,,,,UNITED STATES
ADT,Industrials,,,,,,UNITED STATES
