symbol,name,exchange,assetType,ipoDate,delistingDate,status,ticker,cik,asof
-P-HIZ,Presurance Holdings Inc,NASDAQ,Stock,2023-08-30,,Active,,,2025-11-05
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active,A,0001090872,2025-11-05
AA,Alcoa Corp,NYSE,Stock,2016-10-18,,Active,AA,0001675149,2025-11-05
AACBR,Artius II Acquisition Inc Rights,NASDAQ,Stock,2025-04-07,,Active,AACBR,0002034334,2025-11-05
AACBU,Artius II Acquisition Inc - Units (1 Ord Shs & 1 Rts),NASDAQ,Stock,2025-02-13,,Active,AACBU,0002034334,2025-11-05
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active,AACG,0001420529,2025-11-05
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active,AAL,0000006201,2025-11-05
AAM,AA Mission Acquisition Corp - Class A,NYSE,Stock,2024-09-16,,Active,AAM,0002012964,2025-11-05
AAM-U,AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,2024-08-01,,Active,,,2025-11-05
AAM-WS,AA Mission Acquisition Corp Warrants each whole warrant entitles the holder to purchase one Class A ordinary share at a price of 11.50 per share,NYSE,Stock,2024-09-16,,Active,,,2025-11-05
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active,AAME,0000008177,2025-11-05
AAMI,BrightSphere Investment Group Inc,NYSE,Stock,2018-03-26,,Active,AAMI,0001748824,2025-11-05
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active,AAOI,0001158114,2025-11-05
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active,AAON,0000824142,2025-11-05
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active,AAP,0001158449,2025-11-05
AAPG,Ascentage Pharma Group International,NASDAQ,Stock,2025-01-24,,Active,AAPG,0002023311,2025-11-05
AAPGV,Ascentage Pharma Group International American Depository Shares,NASDAQ,Stock,2025-01-24,,Active,,,2025-11-05
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active,AAPL,0000320193,2025-11-05
AARD,Aardvark Therapeutics Inc,NASDAQ,Stock,2025-02-13,,Active,AARD,0001774857,2025-11-05
AAT,American Assets Trust Inc,NYSE,Stock,2011-01-13,,Active,AAT,0001500217,2025-11-05
AAUC,Allied Gold Corporation,NYSE,Stock,2025-06-09,,Active,AAUC,0001993344,2025-11-05
AAUM,Tema Alternative Asset Managers ETF,BATS,Stock,2025-10-01,,Active,,,2025-11-05
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,,Active,AB,0000825313,2025-11-05
ABAT,Advanced Battery Technologies Inc,NASDAQ,Stock,2023-09-21,,Active,ABAT,0001576873,2025-11-05
ABBV,Abbvie Inc,NYSE,Stock,2013-01-02,,Active,ABBV,0001551152,2025-11-05
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,,Active,ABCB,0000351569,2025-11-05
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,2020-12-11,,Active,ABCL,0001703057,2025-11-05
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,,Active,ABEO,0000318306,2025-11-05
ABEV,Ambev S.A.,NYSE,Stock,1997-03-05,,Active,ABEV,0001565025,2025-11-05
ABG,Asbury Automotive Group Inc,NYSE,Stock,2002-03-21,,Active,ABG,0001144980,2025-11-05
